PLAYER,TEAM,POSITION
Nickeil Alexander-Walker,NOP,G
Grayson Allen,MIL,G
Jose Alvarado,NOP,G
Kyle Anderson,MEM,F-G
Cole Anthony,ORL,G
D.J. Augustin,HOU,G
Joel Ayayi,WAS,G
LaMelo Ball,CHA,G
Lonzo Ball,CHI,G
Desmond Bane,MEM,G
RJ Barrett,NYK,F-G
Will Barton,DEN,G
Nicolas Batum,LAC,G-F
Kent Bazemore,LAL,G-F
Bradley Beal,WAS,G
Malik Beasley,MIN,G
DeAndre' Bembry,BKN,G-F
Patrick Beverley,MIN,G
Eric Bledsoe,LAC,G
Keljin Blevins,POR,G
Bogdan Bogdanovic,ATL,G
Isaac Bonga,TOR,G
Devin Booker,PHX,G
Brandon Boston Jr.,LAC,G
James Bouknight,CHA,G
Avery Bradley,LAL,G
Oshae Brissett,IND,F-G
Malcolm Brogdon,IND,G
Armoni Brooks,HOU,G
Dillon Brooks,MEM,G-F
Bruce Brown,BKN,G-F
Jaylen Brown,BOS,G-F
Sterling Brown,DAL,G-F
Troy Brown Jr.,CHI,G-F
Jalen Brunson,DAL,G
Reggie Bullock,DAL,G-F
Trey Burke,DAL,G
Alec Burks,NYK,G
Jared Butler,UTA,G
Kentavious Caldwell-Pope,WAS,G
Facundo Campazzo,DEN,G
Jevon Carter,BKN,G
Michael Carter-Williams,ORL,G
Alex Caruso,CHI,G
Justin Champagnie,TOR,G-F
Chris Chiozza,GSW,G
Josh Christopher,HOU,G
Jordan Clarkson,UTA,G
Amir Coffey,LAC,G-F
Mike Conley,UTA,G
Pat Connaughton,MIL,G
Sharife Cooper,ATL,G
Jarrett Culver,MEM,G-F
Cade Cunningham,DET,G
Seth Curry,PHI,G
Stephen Curry,GSW,G
Terence Davis,SAC,G
DeMar DeRozan,CHI,G-F
Donte DiVincenzo,MIL,G
Hamidou Diallo,DET,G
Spencer Dinwiddie,WAS,G
Luka Doncic,DAL,F-G
Luguentz Dort,OKC,G
Ayo Dosunmu,CHI,G
Devon Dotson,CHI,G
Jeff Dowtin,GSW,G
P.J. Dozier,DEN,G-F
Goran Dragic,TOR,G
Chris Duarte,IND,G
David Duke Jr.,BKN,G
Anthony Edwards,MIN,G
CJ Elleby,POR,F-G
Wayne Ellington,LAL,G
Malachi Flynn,TOR,G
Bryn Forbes,SAS,G
Trent Forrest,UTA,G
Evan Fournier,NYK,G-F
De'Aaron Fox,SAC,G
Markelle Fultz,ORL,G
Darius Garland,CLE,G
Marcus Garrett,MIA,G
Rudy Gay,UTA,F-G
Josh Giddey,OKC,G
Shai Gilgeous-Alexander,OKC,G
Eric Gordon,HOU,G
Devonte' Graham,NOP,G
Danny Green,PHI,G
Jalen Green,HOU,G
Javonte Green,CHI,G-F
Josh Green,DAL,G
Quentin Grimes,NYK,G
Tyrese Haliburton,SAC,G
R.J. Hampton,ORL,G
Tim Hardaway Jr.,DAL,G-F
James Harden,BKN,G
Maurice Harkless,SAC,F-G
Gary Harris,ORL,G
Joe Harris,BKN,G-F
Josh Hart,NOP,G
Killian Hayes,DET,G
Tyler Herro,MIA,G
Buddy Hield,SAC,G
George Hill,MIL,G
Aaron Holiday,WAS,G
Jrue Holiday,MIL,G
Justin Holiday,IND,F-G
Rodney Hood,MIL,G-F
Talen Horton-Tucker,LAL,G
Danuel House Jr.,HOU,F-G
Markus Howard,DEN,G
Kevin Huerter,ATL,G-F
Elijah Hughes,UTA,G
De'Andre Hunter,ATL,F-G
Chandler Hutchison,PHX,F-G
Bones Hyland,DEN,G
Andre Iguodala,GSW,G-F
Joe Ingles,UTA,F-G
Kyrie Irving,BKN,G
Frank Jackson,DET,G
Josh Jackson,DET,G-F
Reggie Jackson,LAC,G
DeJon Jarreau,IND,G
Ty Jerome,OKC,G-F
Isaiah Joe,PHI,G
David Johnson,TOR,G
Keldon Johnson,SAS,F-G
Keon Johnson,LAC,G
Tre Jones,SAS,G
Tyus Jones,MEM,G
Cory Joseph,DET,G
Luke Kennard,LAC,G
John Konchar,MEM,G
Furkan Korkmaz,PHI,G-F
Vit Krejci,OKC,G
Zach LaVine,CHI,G-F
Jeremy Lamb,IND,G-F
Romeo Langford,BOS,G-F
Caris LeVert,IND,G
Damion Lee,GSW,G-F
Saben Lee,DET,G
Scottie Lewis,CHA,G
Kira Lewis Jr.,NOP,G
Damian Lillard,POR,G
Nassir Little,POR,F-G
Didi Louzada,NOP,G
Kyle Lowry,MIA,G
Timothe Luwawu-Cabarrot,ATL,G-F
Theo Maledon,OKC,G
Terance Mann,LAC,G-F
Tre Mann,OKC,G
Garrison Mathews,HOU,G
